Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,cellMotionU_0,cellMotionU_1,cellMotionU_2,cellMotionU_Magnitude,k,nut,omega,p,pointMotionU_0,pointMotionU_1,pointMotionU_2,pointMotionU_Magnitude,rAU,Block Number,Point ID
0,-0.278229,0.245292,0.370917,3.45E-19,3.45E-19,5.92E-16,6.67E-16,8.92E-16,5.92E-16,6.67E-16,8.92E-16,0,0,0,0,3.13E-06,0,6833.08,0.0577958,0,0,0,0,0.0146441,5,27126
0,-0.285805,0.236438,0.370928,-8.76E-17,-8.76E-17,-4.29E-16,-5.63E-16,7.13E-16,-4.29E-16,-5.63E-16,7.13E-16,0,0,0,0,3.24E-06,0,6629.98,0.0577579,0,0,0,0,0.0150615,5,27124
0,-0.262337,0.262337,0.371001,-4.12E-17,-4.12E-17,-6.61E-16,-6.92E-16,9.58E-16,-6.61E-16,-6.92E-16,9.58E-16,0,0,0,0,2.61E-06,0,7230.57,0.0577175,0,0,0,0,0.0140474,5,27130
0,-0.27036,0.253886,0.370881,4.18E-19,4.18E-19,-3.48E-16,-3.42E-16,4.88E-16,-3.48E-16,-3.42E-16,4.88E-16,0,0,0,0,2.67E-06,0,7088.18,0.057685,0,0,0,0,0.0143112,5,27128
0,-0.262337,-0.262337,0.371001,-8.46E-17,-8.46E-17,6.98E-16,-7.24E-16,1.01E-15,6.98E-16,-7.24E-16,1.01E-15,0,0,0,0,2.61E-06,0,7230.57,0.0576797,0,0,0,0,0.014048,5,1
0,-0.253886,0.27036,0.370881,-4.04E-17,-4.04E-17,7.23E-16,6.66E-16,9.84E-16,7.23E-16,6.66E-16,9.84E-16,0,0,0,0,2.67E-06,0,7089.93,0.0576549,0,0,0,0,0.0143115,5,40357
0,-0.253886,-0.27036,0.370881,1.98E-18,1.98E-18,3.19E-17,-3.06E-17,4.43E-17,3.19E-17,-3.06E-17,4.43E-17,0,0,0,0,2.67E-06,0,7089.93,0.0576366,0,0,0,0,0.0143119,5,13806
0,-0.27036,-0.253886,0.370881,-4.29E-17,-4.29E-17,-3.07E-16,3.77E-16,4.89E-16,-3.07E-16,3.77E-16,4.89E-16,0,0,0,0,2.67E-06,0,7088.18,0.0576337,0,0,0,0,0.0143155,5,3
0,-0.278229,-0.245292,0.370917,3.93E-19,3.93E-19,-7.26E-16,7.84E-16,1.07E-15,-7.26E-16,7.84E-16,1.07E-15,0,0,0,0,2.79E-06,0,6833.08,0.057623,0,0,0,0,0.0148086,5,5
0,-0.245292,0.278229,0.370917,-1.30E-16,-1.30E-16,4.09E-16,3.95E-16,5.83E-16,4.09E-16,3.95E-16,5.83E-16,0,0,0,0,2.79E-06,0,6831.39,0.0576129,0,0,0,0,0.0148114,5,40359
0,-0.30013,-0.218057,0.370981,1.14E-18,1.14E-18,6.29E-16,-8.79E-16,1.08E-15,6.29E-16,-8.79E-16,1.08E-15,0,0,0,0,3.06E-06,0,6357.5,0.057609,0,0,0,0,0.0158249,5,11
0,-0.293053,0.227314,0.37088,-4.40E-17,-4.40E-17,-1.01E-15,-1.29E-15,1.64E-15,-1.01E-15,-1.29E-15,1.64E-15,0,0,0,0,2.98E-06,0,6475.21,0.0576081,0,0,0,0,0.0155565,5,27122
0,-0.236438,0.285805,0.370928,-1.31E-16,-1.31E-16,1.42E-16,9.76E-17,2.16E-16,1.42E-16,9.76E-17,2.16E-16,0,0,0,0,2.90E-06,0,6628.14,0.0576068,0,0,0,0,0.0152321,5,40361
0,-0.285805,-0.236438,0.370928,1.05E-19,1.05E-19,2.47E-16,-2.87E-16,3.78E-16,2.47E-16,-2.87E-16,3.78E-16,0,0,0,0,2.89E-06,0,6629.98,0.0576039,0,0,0,0,0.0152263,5,7
0,-0.245292,-0.278229,0.370917,4.36E-17,4.36E-17,-4.02E-16,3.42E-16,5.30E-16,-4.02E-16,3.42E-16,5.30E-16,0,0,0,0,2.79E-06,0,6831.39,0.0576012,0,0,0,0,0.0148114,5,13808
0,-0.236438,-0.285805,0.370928,2.20E-19,2.20E-19,2.21E-17,4.33E-18,2.26E-17,2.21E-17,4.33E-18,2.26E-17,0,0,0,0,2.90E-06,0,6628.14,0.0576002,0,0,0,0,0.015232,5,13810
0,-0.369321,0.03491,0.370967,-4.34E-17,-4.34E-17,-6.45E-18,-8.63E-17,9.68E-17,-6.45E-18,-8.63E-17,9.68E-17,0,0,0,0,2.97E-06,0,6629.93,0.0575837,0,0,0,0,0.0151826,5,27086
0,-0.293053,-0.227314,0.37088,-4.22E-17,-4.22E-17,1.71E-16,-2.26E-16,2.86E-16,1.71E-16,-2.26E-16,2.86E-16,0,0,0,0,2.98E-06,0,6475.21,0.0575816,0,0,0,0,0.0155621,5,9
0,-0.319292,-0.188827,0.370949,-4.25E-17,-4.25E-17,3.81E-16,-6.19E-16,7.28E-16,3.81E-16,-6.19E-16,7.28E-16,0,0,0,0,3.22E-06,0,6135.28,0.0575813,0,0,0,0,0.0163435,5,17
0,-0.218057,0.30013,0.370981,-8.64E-17,-8.64E-17,1.14E-15,8.36E-16,1.42E-15,1.14E-15,8.36E-16,1.42E-15,0,0,0,0,3.06E-06,0,6355.85,0.0575771,0,0,0,0,0.0158284,5,40365
0,-0.218057,-0.30013,0.370981,-8.75E-17,-8.75E-17,2.38E-16,-1.48E-16,2.94E-16,2.38E-16,-1.48E-16,2.94E-16,0,0,0,0,3.06E-06,0,6355.85,0.0575748,0,0,0,0,0.0158285,5,13814
0,-0.227314,0.293053,0.37088,-4.29E-17,-4.29E-17,1.09E-15,8.49E-16,1.39E-15,1.09E-15,8.49E-16,1.39E-15,0,0,0,0,2.98E-06,0,6474.38,0.0575723,0,0,0,0,0.0155654,5,40363
