"tf.Tensor(0.0561031, shape=(), dtype=float32)","tf.Tensor(1.3713087, shape=(), dtype=float32)"
0.85194236,1.3271899
0.77079165,1.3491344
0.73593354,1.3679086
0.71640307,1.3775058
0.70369464,1.3786548
0.69460523,1.3791541
0.6877876,1.3770658
0.68246204,1.3786142
0.6781831,1.378972
0.6746599,1.3767706
0.67169046,1.3756168
0.66913736,1.3768632
0.66691977,1.3740302
0.6649797,1.3744316
0.66326684,1.3732029
0.6617442,1.3700674
0.66038,1.3695753
0.65915114,1.3688728
0.6580405,1.3702575
0.6570318,1.3678743
0.6561119,1.3680786
0.65527004,1.3696293
0.6544982,1.3694416
0.6537863,1.369647
0.653128,1.3693917
0.6525178,1.3704977
0.65195036,1.3732374
0.65142226,1.37289
0.650929,1.3721672
0.6504671,1.3724066
0.65003467,1.3709471
0.6496278,1.3713087
