train_loss,valid_loss
1.1550623,1.2016443
1.1450055,1.1799649
1.1341912,1.1535045
1.1220075,1.1226919
1.1087247,1.092192
1.0953265,1.0671574
1.0826958,1.0479918
1.0711237,1.0324721
1.0605383,1.0189879
1.0507858,1.0068865
1.0417413,0.99608934
1.0333364,0.98674196
1.0255264,0.97841775
1.0182374,0.9707273
1.0113975,0.963463
1.0049495,0.9566831
0.9988605,0.9506444
0.99311996,0.9455215
0.9877248,0.94135624
0.98267263,0.9380957
0.97795725,0.93562096
0.97356784,0.9338234
0.96948916,0.9324984
0.9657002,0.93150383
0.96217746,0.93071204
0.9588968,0.9300554
0.955836,0.9294936
0.9529746,0.92900646
0.95029414,0.92857915
0.9477786,0.9282004
0.94541335,0.92786086
0.94318557,0.92755276
0.94108367,0.9272695
0.93909717,0.9270059
0.9372169,0.9267576
0.9354343,0.9265215
0.9337418,0.9262931
0.9321326,0.92606926
0.93060035,0.9258473
0.92913944,0.92562395
0.9277443,0.92539513
0.92641073,0.9251557
0.92513365,0.92489463
0.92390907,0.92459524
0.92273235,0.92423576
0.92159885,0.9238071
0.9205044,0.9233136
0.9194454,0.9227683
0.91841894,0.92215204
0.9174218,0.92156464
0.91645336,0.9209951
