V_t,V_p
22.44,0.9999999
20.14,0.9999999
21.07,0.9999999
1.36,0.99999994
15.12,0.9999999
20.12,0.9999999
20.14,0.9999999
16.25,0.9999999
2.05,0.99999994
21.96,0.9999999
16.95,0.9999999
2.04,0.99999994
18.86,0.9999999
2.34,0.99999994
14.93,0.9999999
15.4,0.9999999
15.39,0.9999999
17.01,0.9999999
18.77,0.9999999
20.72,0.9999999
2.42,0.99999994
18.77,0.9999999
13.64,0.99999994
10.38,0.9999999
22.44,0.9999999
16.15,0.9999999
7.17,0.9999999
10.07,0.9999999
18.89,0.9999999
21.82,0.9999999
18.93,0.9999999
15.82,0.9999999
20.83,0.9999999
20.27,0.9999999
20.8,0.9999999
20.38,0.9999999
11.66,0.99999994
8.61,0.9999999
22.49,0.9999999
11.36,0.99999994
15.37,0.9999999
6.81,0.9999999
18.73,0.9999999
6.95,0.9999999
6.97,0.9999999
22.6,0.9999999
18.84,0.9999999
13.41,0.99999994
17.55,0.9999999
17.64,0.9999999
21.8,0.9999999
16.96,0.9999999
1.98,0.99999994
15.08,0.9999999
22.27,0.9999999
0.68,0.99999994
11.42,0.99999994
19.88,0.9999999
17.02,0.9999999
3.17,0.99999994
18.65,0.9999999
10.61,0.99999994
10.37,0.9999999
20.84,0.9999999
11.63,0.99999994
1.35,0.99999994
21.08,0.9999999
8.56,0.9999999
1.96,0.99999994
0.86,0.99999994
13.6,0.99999994
20.05,0.9999999
0.58,0.99999994
8.79,0.9999999
22.27,0.9999999
17.7,0.9999999
15.32,0.9999999
20.73,0.9999999
20.93,0.9999999
8.5,0.9999999
21.06,0.9999999
21.97,0.9999999
20.74,0.9999999
6.91,0.9999999
22.29,0.9999999
11.72,0.99999994
16.92,0.9999999
10.32,0.9999999
21.35,0.9999999
13.65,0.99999994
1.37,0.99999994
11.82,0.99999994
18.67,0.9999999
20.78,0.9999999
19.92,0.9999999
2.0,0.99999994
10.08,0.9999999
2.06,0.99999994
21.49,0.9999999
18.79,0.9999999
22.28,0.9999999
2.75,0.99999994
21.13,0.9999999
7.09,0.9999999
10.27,0.9999999
22.11,0.9999999
10.31,0.9999999
15.63,0.9999999
10.26,0.9999999
10.09,0.9999999
22.47,0.9999999
15.65,0.9999999
2.27,0.99999994
3.24,0.99999994
1.97,0.99999994
18.87,0.9999999
18.75,0.9999999
